Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
165,Faridpur,purbo_sodordi_area_bhanga_upazila,,Saturday,June,16,19,Evening,0,1,1,1,23.387439,89.978285,cycle,2018
166,Faridpur, dangi,,Saturday,June,16,10,Morning,0,1,1,1,23.443155,89.944519,three_wheeler,2018
167,Mymensingh, shahbazpur_gouripur_upazila,,Saturday,June,16,17,Afternoon,0,1,1,1,24.056817,91.196529,rickshaw,2018
168,Noakhali,rampur_sonaimuri, laksam_sonaimuri_road,Sunday,June,17,14,Afternoon,1,3,4,2,23.06371,91.106968,bus_rickshaw,2018
169,Tangail, bangabandhu_bridge,,Sunday,June,17,7,Morning,0,3,3,2,24.399888,89.776583,bus_cycle,2018
170,Tangail, bailla_area,,Sunday,June,17,8,Morning,0,1,1,1,24.330634,90.031071,cycle,2018
171,Cox's Bazar,,,Sunday,June,17,14,Afternoon,0,1,1,1,21.425297,92.017309,rickshaw,2018
172,Comilla, kalakachua_burichang_upazila, dhaka_chittaganj_highway,Sunday,June,17,15,Afternoon,0,1,1,1,23.477764,91.087842,bus,2018
173,Comilla,,,Sunday,June,17,17,Afternoon,0,1,1,1,23.456673,91.180154,bus,2018
174,Thakurgaon, mathurapur,,Sunday,June,17,19,Evening,0,2,2,3,26.044913,88.404503,bus_cycle,2018
175,Faridpur, kaliamore_area,,Sunday,June,17,18,Evening,0,1,1,2,23.604475,89.836219,bus_cycle,2018
176,Magura,,,Monday,June,18,14,Morning,0,2,2,2,23.485761,89.421501,bus_rickshaw,2018
177,Chittagong, satkania, chittagang_cox'sbazar_highway,Monday,June,18,22,Night,9,1,10,2,22.363395,91.908958,bus,2018
178,Jhenaidah, arabpur_busstand,,Monday,June,18,14,Afternoon,0,1,1,2,23.553844,89.173806,bus_cycle,2018
179,Mymensingh, nandail, mymensingh_kishoreganj_road,Monday,June,18,15,Afternoon,4,1,5,2,24.739061,90.499324,three_wheeler_rickshaw,2018
180,Narsingdi, raipura_upazila,,Wednesday,June,20,18,Evening,0,2,2,1,23.944333,90.787506,others,2018
181,Mymensingh, muktagacha_upazila, mymensingh_tangail_highway,Wednesday,June,20,11,Morning,0,3,3,2,24.769955,90.301512,three_wheeler_rickshaw,2018
182,Gopalganj, kotalipara_upazila,,Wednesday,June,20,19,Evening,0,1,1,1,22.990189,90.005108,others,2018
